episode,timesteps,episode_reward,episode_length,success,collision,out_of_bounds
171,2216,-22.631329,15,0,0,1
172,2232,-20.064119,6,0,0,1
173,2240,-22.349478,4,0,0,1
174,2248,-24.23794,63,0,0,1
175,2248,-22.473824,8,0,0,1
176,2248,-22.445813,4,0,0,1
177,2264,-22.362437,11,0,0,1
178,2280,-22.387315,16,0,0,1
179,2288,-18.997557,5,0,0,1
180,2296,-22.462029,7,0,0,1
181,2328,-22.485341,12,0,0,1
182,2336,-21.989122,6,0,0,1
183,2336,-22.191041,11,0,0,1
184,2336,-22.362742,11,0,0,1
185,2368,-22.21917,4,0,0,1
186,2376,-21.897861,5,0,0,1
187,2392,-22.205935,7,0,0,1
188,2448,-22.922092,23,0,0,1
189,2480,-22.856212,19,0,0,1
190,2480,-19.811032,25,0,0,1
191,2480,-22.64419,23,0,0,1
192,2504,-19.206605,17,0,0,1
193,2504,-22.330106,7,0,0,1
194,2520,-19.980371,5,0,0,1
195,2528,-22.525179,6,0,0,1
196,2552,-19.821882,22,0,0,1
197,2552,-22.868536,20,0,0,1
198,2576,-22.518751,9,0,0,1
199,2576,-28.942501,69,0,0,1
200,2600,-22.514822,10,0,0,1
201,2608,-18.900318,13,0,0,1
202,2608,-16.998683,16,0,0,1
203,2624,-22.174271,12,0,0,1
204,2648,-22.011296,12,0,0,1
205,2664,-20.58722,8,0,0,1
206,2672,-20.589796,6,0,0,1
207,2688,-23.524548,14,0,0,1
208,2704,-19.679943,16,0,0,1
209,2736,-22.668498,23,0,0,1
210,2752,-21.305374,18,0,0,1
211,2776,-22.229711,3,0,0,1
212,2776,-22.252767,5,0,0,1
213,2776,-22.390844,14,0,0,1
214,2784,-22.793608,14,0,0,1
215,2784,-22.376038,17,0,0,1
216,2800,-23.453671,24,0,0,1
217,2816,-22.005517,5,0,0,1
218,2832,-21.908996,4,0,0,1
219,2832,-22.178254,7,0,0,1
220,2832,-22.499963,7,0,0,1
221,2880,-19.029895,6,0,0,1
222,2896,-21.834343,24,0,0,1
223,2896,-22.17695,26,0,0,1
224,2896,-22.281498,14,0,0,1
225,2952,-17.3214,9,0,0,1
226,2976,-19.138653,10,0,0,1
227,3024,-19.793293,26,0,0,1
228,3032,-22.365704,17,0,0,1
229,3040,-23.059578,32,0,0,1
230,3064,-22.449537,29,0,0,1
231,3064,-22.522788,21,0,0,1
232,3072,-22.587744,6,0,0,1
233,3080,-18.069244,31,0,0,1
234,3120,-19.201066,7,0,0,1
235,3128,-22.20569,6,0,0,1
236,3160,-22.298858,15,0,0,1
237,3168,-22.227758,12,0,0,1
238,3176,-22.22966,7,0,0,1
239,3184,-22.84389,26,0,0,1
240,3200,-22.062417,9,0,0,1
241,3208,-23.281771,22,0,0,1
242,3232,-21.169712,4,0,0,1
243,3256,-18.530405,12,0,0,1
244,3280,-18.14699,27,0,0,1
245,3280,-22.154121,6,0,0,1
246,3280,-20.702163,13,0,0,1
247,3288,-22.686455,15,0,0,1
248,3320,-20.485747,5,0,0,1
249,3328,-23.796051,47,0,0,1
250,3336,-25.110328,19,0,0,1
251,3360,-22.403644,5,0,0,1
252,3368,-22.244384,10,0,0,1
253,3376,-23.156477,21,0,0,1
254,3400,-20.991088,8,0,0,1
255,3408,-20.980566,19,0,0,1
256,3432,-22.630894,19,0,0,1
257,3456,-22.591836,16,0,0,1
258,3472,-22.412013,13,0,0,1
259,3480,-22.229711,3,0,0,1
260,3496,-22.228092,12,0,0,1
261,3504,-21.064111,4,0,0,1
262,3520,-23.452879,30,0,0,1
263,3536,-21.901758,5,0,0,1
264,3536,-22.269711,4,0,0,1
265,3536,-22.906823,16,0,0,1
266,3568,-20.907039,6,0,0,1
267,3576,-21.91877,5,0,0,1
268,3576,-22.299461,5,0,0,1
269,3600,-22.548121,8,0,0,1
270,3600,-21.246172,15,0,0,1
271,3616,-20.774505,23,0,0,1
272,3640,-22.098916,8,0,0,1
273,3640,-19.600044,5,0,0,1
274,3648,-22.363961,9,0,0,1
275,3664,-19.006046,6,0,0,1
276,3672,-22.382894,13,0,0,1
277,3688,-21.951946,5,0,0,1
278,3712,-28.032034,44,0,0,1
279,3728,-20.444466,5,0,0,1
280,3736,-20.996569,8,0,0,1
281,3744,-22.149723,10,0,0,1
282,3744,-21.932784,4,0,0,1
283,3744,-22.555152,18,0,0,1
284,3752,-20.126866,14,0,0,1
285,3776,-22.66888,17,0,0,1
286,3776,-21.988383,5,0,0,1
287,3792,-22.624796,6,0,0,1
288,3800,-20.486207,7,0,0,1
289,3800,-17.927488,9,0,0,1
290,3832,-22.027874,4,0,0,1
291,3840,-22.229952,5,0,0,1
292,3864,-22.415326,14,0,0,1
293,3864,-22.452535,9,0,0,1
294,3880,-24.405205,63,0,0,1
295,3920,-22.587124,18,0,0,1
296,3928,-22.625259,12,0,0,1
297,3936,-23.03357,9,0,0,1
298,3960,-21.523533,12,0,0,1
299,3984,-20.880947,8,0,0,1
300,4008,-20.382103,21,0,0,1
301,4024,-21.852259,8,0,0,1
302,4040,-22.178277,13,0,0,1
303,4040,-21.406458,7,0,0,1
304,4048,-22.589116,15,0,0,1
305,4048,-20.375756,5,0,0,1
306,4064,-23.09639,36,0,0,1
307,4104,-22.512505,7,0,0,1
308,4104,-22.14942,7,0,0,1
309,4152,-22.457058,16,0,0,1
310,4168,-22.379711,8,0,0,1
311,4240,-23.259135,11,0,0,1
312,4264,-19.365201,48,0,0,1
313,4272,-19.3078,21,0,0,1
314,4288,-23.225329,28,0,0,1
315,4312,-23.236106,34,0,0,1
316,4312,-19.659654,34,0,0,1
317,4320,-21.918987,4,0,0,1
318,4328,-22.950946,20,0,0,1
319,4336,-20.540076,8,0,0,1
320,4352,-22.08335,4,0,0,1
321,4368,-20.144759,5,0,0,1
322,4392,-22.611813,19,0,0,1
323,4416,-22.380694,13,0,0,1
324,4424,-19.738472,9,0,0,1
325,4424,-20.643303,7,0,0,1
326,4432,-21.868787,5,0,0,1
327,4440,-22.804359,22,0,0,1
328,4448,-22.513021,14,0,0,1
329,4456,-22.229711,3,0,0,1
330,4456,-22.836237,18,0,0,1
331,4480,-22.229711,3,0,0,1
332,4488,-26.049344,93,0,0,1
333,4496,-22.415334,7,0,0,1
334,4512,-22.501045,8,0,0,1
335,4528,-22.247806,13,0,0,1
336,4544,-23.240548,11,0,0,1
337,4544,-20.445747,4,0,0,1
338,4560,-22.567117,9,0,0,1
339,4560,-23.0967,17,0,0,1
340,4560,-22.476967,8,0,0,1
341,4568,-20.111213,11,0,0,1
342,4592,-22.496802,6,0,0,1
343,4592,-20.420397,4,0,0,1
344,4616,-22.386078,9,0,0,1
345,4632,-22.067874,5,0,0,1
346,4664,-22.445457,9,0,0,1
347,4712,-22.616534,12,0,0,1
348,4752,-23.527348,42,0,0,1
349,4808,-22.160486,12,0,0,1
350,4832,-22.273006,34,0,0,1
351,4832,-22.62621,10,0,0,1
352,4848,-19.203889,23,0,0,1
353,4872,-21.910271,5,0,0,1
354,4912,-24.711522,48,0,0,1
355,4936,-22.597329,13,0,0,1
356,4976,-22.215263,5,0,0,1
357,4992,-22.588553,23,0,0,1
358,5024,-23.993066,57,0,0,1
359,5024,-22.625569,14,0,0,1
360,5048,-23.466791,25,0,0,1
361,5064,-22.252767,5,0,0,1
362,5064,-24.48523,63,0,0,1
363,5096,-20.621801,9,0,0,1
364,5104,-21.344118,5,0,0,1
365,5112,-22.523236,15,0,0,1
366,5112,-22.380531,8,0,0,1
367,5120,-22.973757,31,0,0,1
368,5136,-22.229711,3,0,0,1
369,5136,-20.861616,5,0,0,1
370,5144,-20.015324,10,0,0,1
371,5152,-20.707487,5,0,0,1
372,5160,-25.043279,66,0,0,1
373,5160,-19.600044,5,0,0,1
374,5168,-23.183121,24,0,0,1
375,5200,-21.958106,5,0,0,1
376,5216,-22.621303,8,0,0,1
377,5224,-22.476148,8,0,0,1
378,5232,-18.820348,8,0,0,1
379,5240,-21.967545,5,0,0,1
380,5256,-19.597506,4,0,0,1
381,5264,-22.894887,16,0,0,1
382,5288,-21.737395,6,0,0,1
383,5296,-22.271029,8,0,0,1
384,5296,-21.973787,5,0,0,1
385,5320,-23.438858,23,0,0,1
386,5336,-18.720667,15,0,0,1
387,5344,-22.335677,10,0,0,1
388,5352,-22.26523,7,0,0,1
389,5376,-22.667773,10,0,0,1
390,5376,-26.069779,29,0,0,1
391,5384,-18.262402,8,0,0,1
392,5408,-22.374738,9,0,0,1
393,5456,-21.465598,9,0,0,1
394,5472,-22.243602,8,0,0,1
395,5488,-22.83859,25,0,0,1
396,5488,-23.183004,17,0,0,1
397,5488,-22.73135,18,0,0,1
398,5496,-18.513419,15,0,0,1
399,5512,-21.972784,5,0,0,1
400,5568,-16.763722,58,0,1,0
401,5576,-22.149036,11,0,0,1
402,5584,-22.264519,12,0,0,1
403,5600,-21.064111,4,0,0,1
404,5616,-22.27906,15,0,0,1
405,5640,-20.485747,5,0,0,1
406,5640,-22.471385,8,0,0,1
407,5664,-20.807735,6,0,0,1
408,5672,-22.991692,23,0,0,1
409,5680,-22.377759,5,0,0,1
410,5688,-22.920743,13,0,0,1
411,5688,-23.489341,29,0,0,1
412,5736,-22.406302,8,0,0,1
413,5752,-22.509592,8,0,0,1
414,5760,-23.069156,31,0,0,1
415,5768,-18.529635,13,0,0,1
416,5808,-28.086792,54,0,0,1
417,5808,-22.478147,16,0,0,1
418,5824,-21.818368,7,0,0,1
419,5840,-22.107172,10,0,0,1
420,5864,-22.882494,16,0,0,1
421,5872,-22.100527,8,0,0,1
422,5880,-22.404119,7,0,0,1
423,5912,-22.349478,4,0,0,1
